,Date,SP500 - Price,SP500 - Log-Return,squared_log_ret
"323-1",1951-04-19,22.040001,-0.0040750792186656781,1.6606270638400874e-05
"324-1",1951-04-20,22.040001,0,0
"325-1",1951-04-23,22.049999,0.00045352688461663959,2.0568663507007472e-07
"326-1",1951-04-24,21.959999,-0.0040899854373921407,1.672798087807978e-05
"327-1",1951-04-25,21.969999000000001,0.00045526977591636708,2.0727056886293909e-07
"328-1",1951-04-26,22.16,0.0086110209991785425,7.414968264829382e-05
"329-1",1951-04-27,22.389999,0.010325524068783842,0.00010661644729503444
"330-1",1951-04-30,22.43,0.0017849625842503158,3.1860914271735657e-06
"331-1",1951-05-01,22.530000999999999,0.0044484502972990114,1.9788710047539663e-05
"332-1",1951-05-02,22.620000999999998,0.003986716067222229,1.5893905000647876e-05
"333-1",1951-05-03,22.809999000000001,0.0083644775592364162,6.99644848389696e-05
"334-1",1951-05-04,22.77,-0.0017551123802266311,3.0804194672247904e-06
"335-1",1951-05-07,22.629999000000002,-0.0061674646193323746,3.8037619830716635e-05
"336-1",1951-05-08,22.610001,-0.000884084938220564,7.8160617798845846e-07
"337-1",1951-05-09,22.639999,0.0013258786472745143,1.757954187298496e-06
"338-1",1951-05-10,22.510000000000002,-0.0057585542467286643,3.3160947012516733e-05
"339-1",1951-05-11,22.329999999999998,-0.0080285890665745541,6.4458242399920474e-05
"340-1",1951-05-14,22.18,-0.0067400839298454862,4.5428731381361371e-05
"341-1",1951-05-15,21.760000000000002,-0.019117559934478834,0.00036548109784839038
"342-1",1951-05-16,21.690000999999999,-0.0032220510447649175,1.0381612935070697e-05
"343-1",1951-05-17,21.91,0.010091782664397808,0.00010184407734544012
"344-1",1951-05-18,21.510000000000002,-0.018425210327736252,0.00033948837562131865
"345-1",1951-05-21,21.459999,-0.0023272526754101186,5.4161050152035545e-06
"346-1",1951-05-22,21.360001,-0.0046706296957563787,2.181478175488132e-05
"347-1",1951-05-23,21.16,-0.0094074539183734984,8.8500189226320888e-05
"348-1",1951-05-24,21.049999,-0.0052120943676476905,2.716592769726478e-05
"349-1",1951-05-25,21.030000999999999,-0.00095047535672643235,9.0340340374423879e-07
"350-1",1951-05-28,21.209999,0.0085226841632932704,7.2636145347249916e-05
"351-1",1951-05-29,21.350000000000001,0.0065790182456155755,4.3283481076142646e-05
"352-1",1951-05-31,21.52,0.0079309956189499431,6.2900691507803192e-05
"353-1",1951-06-01,21.48,-0.0018604656529195296,3.4613324456932915e-06
"354-1",1951-06-04,21.239999999999998,-0.011236073266926105,0.00012624934245973149
"355-1",1951-06-05,21.329999999999998,0.0042283361095214467,1.7878826255082963e-05
